chamber,label,type,width,widthLarge,height,eta,strips,x,y,z,angle
0,tracker0,tracker,89.5,0,89.5,2,358,-0.688886,-3.5106470,-1245,0.011584
1,tracker1,tracker,89.5,0,89.5,2,358,0.018519,-1.083060,-548,0.003880
2,tracker2,tracker,89.5,0,89.5,2,358,-0.017383,0.573582,170,-0.001902
3,tracker3,tracker,89.5,0,89.5,2,358,-0.015527,-0.100316,867,-0.009710
3,ge21,large,488.8,628.8,390.9,4,384,0,0,0,0
4,me0_blank,large,235.2,460,787.9,8,384,0,0,0,1.570796
5,me0_random,large,235.2,460,787.9,8,384,0,0,0,1.570796
