chamber,label,type,width,widthLarge,height,eta,strips,x,y,z,angle
0,me0,large,235.2,460,787.9,8,384,41.194,0.0,0.0,0.001
1,me0,large,235.2,460,787.9,8,384,41.194,0.0,0.0,0.001                                                                                                                                                
2,me0,large,235.2,460,787.9,8,384,41.194,0.0,0.0,0.001                                                                                                                                                   
